id,age,income,self_learning_hours,highest_degree,favourite_domain
64,22,36,1.48,Bachelor,Cybersecurity
65,52,95,1.21,High School,Business Analytics
66,37,89,0.41,Bachelor,Data Science
67,25,18,2.97,Bachelor,Data Science
68,36,82,0.84,Master,Software Engineering
69,61,86,3.41,PhD,Data Science
70,21,16,2.54,Master,AI
71,18,47,3.08,Master,Software Engineering
72,65,61,2.21,PhD,Business Analytics
73,18,19,0.3,Bachelor,Business Analytics
74,20,52,2.33,Bachelor,Cybersecurity
75,26,10,1.23,High School,Data Science
76,31,92,1.0,High School,Data Science
77,67,76,3.54,PhD,Business Analytics
78,65,24,3.7,Bachelor,Software Engineering
79,69,27,3.53,High School,Software Engineering
80,65,47,3.13,PhD,Software Engineering
81,35,25,3.15,High School,Cybersecurity
82,20,65,0.89,PhD,Data Science
83,37,34,0.89,Bachelor,Cybersecurity
84,39,40,3.46,Master,Data Science
85,59,70,1.6,Master,AI
86,25,38,0.71,Master,AI
87,24,81,1.74,Master,Cybersecurity
88,56,70,0.46,Bachelor,Data Science
89,20,95,1.74,Bachelor,Data Science
90,45,13,3.8,Master,Business Analytics
91,38,89,3.39,Master,Business Analytics
92,37,90,1.63,PhD,Data Science
93,53,21,0.77,PhD,Software Engineering
94,57,77,1.2,High School,Data Science
95,36,31,1.72,Master,Cybersecurity
96,46,61,2.7,PhD,Software Engineering
97,60,15,1.14,Master,AI
98,70,35,2.69,Bachelor,Software Engineering
99,27,8,0.18,PhD,Business Analytics
100,67,14,1.82,Bachelor,Cybersecurity
101,49,56,0.98,High School,AI
102,67,59,0.88,PhD,AI
103,53,36,3.67,High School,Cybersecurity
104,26,64,2.67,Master,Cybersecurity
105,57,97,3.57,PhD,Business Analytics
106,46,25,2.97,PhD,Cybersecurity
107,34,36,3.36,Master,Business Analytics
108,49,85,0.96,PhD,AI
109,63,41,0.94,Master,Data Science
110,52,15,0.55,Bachelor,Cybersecurity
111,62,24,2.83,High School,Cybersecurity
112,44,47,2.17,PhD,AI
113,31,58,1.56,High School,Business Analytics
114,42,66,0.02,Master,Data Science
115,66,54,3.41,PhD,Business Analytics
116,65,99,2.18,Bachelor,Cybersecurity
117,32,39,1.74,High School,Cybersecurity
118,39,90,2.72,PhD,Software Engineering
119,47,21,3.92,High School,Cybersecurity
120,55,77,2.65,High School,Cybersecurity
121,26,64,0.73,Master,Cybersecurity
122,38,32,1.82,Master,Cybersecurity
123,35,58,1.01,High School,Cybersecurity
124,19,100,2.16,Master,Software Engineering
125,59,13,3.12,High School,AI
126,33,30,3.36,Bachelor,Software Engineering
127,26,65,2.68,Bachelor,Cybersecurity
128,62,37,3.07,Bachelor,Business Analytics
129,56,100,2.87,Bachelor,Data Science
130,24,79,0.1,Master,Business Analytics
131,61,53,1.59,Bachelor,AI
132,55,93,3.32,Bachelor,AI
133,62,43,3.4,High School,Business Analytics
134,68,10,1.39,PhD,Data Science
135,22,69,2.59,High School,Cybersecurity
136,70,67,0.42,Master,Cybersecurity
137,63,24,1.74,Master,Business Analytics
138,69,73,3.1,PhD,Cybersecurity
139,70,98,2.37,Master,Software Engineering
140,23,40,3.53,Bachelor,Cybersecurity
141,54,83,2.67,Master,AI
142,49,46,0.73,Bachelor,Data Science
143,69,38,1.36,Master,Business Analytics
144,18,71,3.79,High School,Software Engineering
145,64,57,1.95,Bachelor,Cybersecurity
146,59,96,1.96,High School,AI
147,36,33,1.62,Bachelor,Data Science
148,60,79,1.48,Master,Cybersecurity
149,65,75,1.32,PhD,Data Science
150,37,37,0.92,Bachelor,Data Science
151,25,100,2.14,Bachelor,Software Engineering
152,31,99,1.94,Master,AI
153,30,42,0.91,Bachelor,Data Science
154,18,95,2.14,Master,AI
155,21,75,1.17,Bachelor,Cybersecurity
156,24,6,2.3,PhD,Cybersecurity
157,46,48,0.74,High School,Data Science
158,48,19,3.29,PhD,Cybersecurity
159,22,78,2.52,High School,Software Engineering
160,27,77,3.8,High School,Software Engineering
161,25,76,3.06,Bachelor,Business Analytics
162,42,62,3.63,Master,Business Analytics
163,45,44,2.27,High School,Business Analytics
164,65,17,3.79,Bachelor,Software Engineering
165,34,89,0.32,Bachelor,Software Engineering
166,53,14,0.63,PhD,Cybersecurity
167,62,81,1.88,High School,Software Engineering
168,36,95,1.13,PhD,AI
169,61,34,3.7,Bachelor,Cybersecurity
170,25,74,0.9,Bachelor,Data Science
171,70,23,0.29,Bachelor,Data Science
172,56,100,3.3,Master,Cybersecurity
173,25,64,2.75,PhD,Data Science
174,50,74,1.98,High School,Business Analytics
175,20,60,2.94,Master,AI
176,23,34,3.85,High School,Data Science
177,54,10,3.05,Bachelor,Cybersecurity
178,51,88,1.77,Master,Software Engineering
179,55,60,2.54,PhD,AI
180,48,49,1.63,Master,AI
181,28,47,1.65,PhD,Data Science
182,60,56,3.25,High School,Cybersecurity
183,23,45,1.01,High School,Cybersecurity
184,50,5,2.63,PhD,Cybersecurity
185,21,29,2.07,PhD,Cybersecurity
186,66,11,0.81,Bachelor,Data Science
187,46,94,1.94,High School,Business Analytics
188,69,35,2.84,Master,Business Analytics
189,18,75,1.63,Bachelor,AI
190,47,20,2.59,Bachelor,Cybersecurity
191,63,42,2.04,Master,Cybersecurity
192,48,65,0.97,Bachelor,Cybersecurity
193,30,81,2.03,Bachelor,AI
194,35,58,1.36,Master,AI
195,36,97,1.19,PhD,Software Engineering
196,46,73,1.94,Master,Business Analytics
197,66,74,1.51,Master,Software Engineering
198,62,35,2.29,Bachelor,Cybersecurity
199,20,45,2.98,PhD,Cybersecurity
200,60,88,3.92,PhD,AI
201,26,69,3.86,Master,AI
202,46,17,2.1,PhD,AI
203,64,23,1.64,Bachelor,AI
204,48,38,1.35,PhD,AI
205,39,91,3.44,PhD,Data Science
206,58,96,3.55,PhD,Business Analytics
207,20,84,0.27,Master,Software Engineering
208,65,16,1.74,High School,AI
209,46,26,2.78,High School,AI
210,38,12,1.17,Master,Cybersecurity
211,27,36,2.12,Bachelor,Software Engineering
212,29,15,2.44,PhD,Business Analytics
213,61,35,1.99,Bachelor,Software Engineering
214,47,86,1.02,Master,AI
215,69,64,3.6,Bachelor,AI
216,46,49,3.95,Master,Cybersecurity
217,62,37,1.83,Master,Software Engineering
218,42,66,0.43,PhD,Business Analytics
219,40,78,1.18,Master,AI
220,60,55,1.1,High School,Business Analytics
221,65,68,3.33,Master,Software Engineering
222,56,50,0.88,Bachelor,Business Analytics
223,34,91,3.02,Bachelor,AI
224,58,87,0.16,PhD,AI
225,55,51,2.93,High School,Data Science
226,38,100,1.66,Bachelor,Software Engineering
227,68,74,3.51,Master,Business Analytics
228,50,39,3.32,Master,Cybersecurity
229,69,42,2.99,Master,AI
230,47,14,0.56,Bachelor,Cybersecurity
231,69,76,1.46,PhD,AI
232,34,73,0.49,Master,Data Science
233,55,53,3.29,Master,AI
234,61,34,1.89,Master,Business Analytics
235,32,87,0.25,PhD,Data Science
236,59,57,0.47,High School,AI
237,37,68,0.46,Bachelor,Business Analytics
238,26,54,1.81,PhD,Business Analytics
239,65,98,0.62,PhD,AI
240,49,83,1.63,Master,AI
241,62,52,0.87,PhD,Software Engineering
242,41,17,3.92,Master,Business Analytics
243,59,50,0.24,Master,Software Engineering
244,25,63,0.37,Bachelor,Business Analytics
245,19,11,3.15,Bachelor,Software Engineering
246,68,77,0.82,Bachelor,Business Analytics
247,31,34,1.31,Bachelor,Business Analytics
248,18,40,3.43,Bachelor,Software Engineering
249,52,37,3.19,High School,AI
250,26,6,1.43,Bachelor,Business Analytics
251,38,7,0.7,High School,Software Engineering
252,65,58,2.1,High School,Cybersecurity
253,46,51,2.05,High School,Cybersecurity
254,50,33,3.78,High School,Business Analytics
255,37,63,2.57,High School,AI
256,48,56,1.71,High School,Cybersecurity
257,63,61,0.29,High School,Data Science
258,56,23,0.26,Master,Business Analytics
259,58,79,2.19,Master,Cybersecurity
260,56,72,1.18,PhD,AI
261,68,94,0.46,Bachelor,Cybersecurity
262,46,34,1.66,PhD,Cybersecurity
263,44,98,0.38,PhD,Data Science
264,60,37,1.5,Bachelor,Cybersecurity
265,22,16,3.33,High School,Cybersecurity
266,24,100,2.96,Bachelor,Business Analytics
267,21,80,3.83,Master,AI
268,44,50,3.49,PhD,AI
269,36,81,1.25,High School,Business Analytics
270,50,32,0.62,PhD,Software Engineering
271,24,49,3.38,Master,AI
272,66,40,2.3,PhD,Business Analytics
273,67,84,2.45,High School,Business Analytics
274,60,93,1.07,Bachelor,Data Science
275,62,44,3.69,Master,AI
276,29,23,2.27,PhD,AI
277,27,99,2.53,High School,AI
278,65,72,0.86,PhD,Cybersecurity
279,39,25,1.48,Master,Business Analytics
280,56,15,3.53,Bachelor,Software Engineering
281,66,84,0.2,High School,Data Science
282,46,89,1.7,PhD,Cybersecurity
283,35,32,3.02,High School,Data Science
284,45,19,1.13,PhD,Business Analytics
285,60,44,0.18,PhD,Business Analytics
286,21,5,0.82,Bachelor,Software Engineering
287,66,37,1.16,High School,AI
288,49,100,1.72,Bachelor,Cybersecurity
289,52,95,0.92,Master,AI
290,43,99,0.17,High School,Cybersecurity
291,22,45,2.3,PhD,Cybersecurity
292,36,19,1.62,Master,Software Engineering
293,69,84,1.84,Master,AI
294,45,18,0.97,PhD,Business Analytics
295,23,55,3.48,Master,Software Engineering
296,39,26,0.31,High School,Business Analytics
297,50,29,3.62,Master,Data Science
298,64,87,3.26,Bachelor,AI
299,27,37,0.79,Bachelor,AI
300,29,85,1.98,PhD,Business Analytics
301,59,86,3.95,Master,Data Science
302,27,61,0.27,PhD,Data Science
303,68,40,2.37,Master,Business Analytics
304,22,44,1.85,High School,AI
305,41,41,0.31,High School,Business Analytics
306,56,69,1.54,High School,Cybersecurity
307,69,78,2.61,Master,Business Analytics
308,48,69,0.6,High School,Cybersecurity
309,24,48,3.93,High School,Business Analytics
310,59,27,0.16,PhD,Cybersecurity
311,51,71,2.44,Master,Data Science
312,36,54,1.64,Master,Business Analytics
313,21,85,2.59,High School,Data Science
314,24,76,2.71,Master,Data Science
315,64,89,3.86,Bachelor,Data Science
316,23,79,2.65,Master,Data Science
317,59,94,2.65,Bachelor,Business Analytics
318,63,15,1.24,PhD,Data Science
319,70,21,2.68,High School,Cybersecurity
320,50,51,0.07,Master,Software Engineering
321,31,48,3.79,PhD,Software Engineering
322,32,22,0.62,Master,AI
323,50,74,3.34,High School,Data Science
324,67,84,0.52,PhD,Software Engineering
325,28,28,3.33,Bachelor,Cybersecurity
326,20,57,1.46,Bachelor,Cybersecurity
327,57,41,3.01,PhD,Software Engineering
328,52,35,1.24,PhD,Software Engineering
329,41,91,3.79,PhD,Cybersecurity
330,67,41,3.11,PhD,Software Engineering
331,70,30,3.21,Bachelor,Data Science
332,21,87,1.92,Master,Business Analytics
333,24,96,3.38,High School,Data Science
334,23,25,1.09,Bachelor,Cybersecurity
335,23,33,3.27,Master,AI
336,44,11,1.59,Master,Software Engineering
337,42,15,1.5,High School,Data Science
338,24,96,2.6,Bachelor,Software Engineering
339,20,41,3.67,PhD,Software Engineering
340,66,95,1.88,High School,AI
341,19,37,0.86,Bachelor,Business Analytics
342,64,82,2.11,High School,Data Science
343,33,43,0.49,Bachelor,Cybersecurity
344,58,84,1.83,High School,Cybersecurity
345,56,73,0.07,Bachelor,Software Engineering
346,36,59,0.01,Master,Software Engineering
347,54,58,0.75,High School,Business Analytics
348,41,13,3.81,High School,Cybersecurity
349,48,10,2.54,Master,Data Science
350,65,7,1.43,High School,Data Science
351,33,98,2.63,High School,Business Analytics
352,65,47,0.53,Master,Business Analytics
353,39,87,0.7,PhD,Cybersecurity
354,58,28,3.25,High School,Cybersecurity
355,20,42,0.81,Bachelor,AI
356,38,44,2.06,PhD,Data Science
357,20,87,0.76,Master,AI
358,59,47,1.09,Master,Cybersecurity
359,43,100,1.76,PhD,Data Science
360,29,68,2.77,Master,Business Analytics
361,35,15,2.91,High School,Cybersecurity
362,56,28,2.18,Master,AI
363,23,46,2.64,Master,Cybersecurity
364,56,96,1.7,PhD,Data Science
365,46,10,2.91,Master,Business Analytics
366,45,40,2.56,High School,AI
367,60,86,1.62,Bachelor,AI
368,27,82,2.71,PhD,AI
369,26,13,0.94,Master,Data Science
370,42,77,0.13,Bachelor,Cybersecurity
371,41,52,1.78,High School,Business Analytics
372,26,72,1.47,Master,Data Science
373,33,19,0.1,Bachelor,Cybersecurity
374,51,54,3.65,High School,Data Science
375,67,38,2.82,Bachelor,Business Analytics
376,36,93,3.67,PhD,Software Engineering
377,25,22,3.41,PhD,Software Engineering
378,63,61,3.99,Master,Data Science
379,63,13,2.2,Master,Data Science
380,28,96,2.84,Bachelor,Data Science
381,50,33,0.49,Bachelor,Software Engineering
382,33,68,0.11,Master,Cybersecurity
383,69,75,0.52,High School,AI
384,37,55,4.0,PhD,Business Analytics
385,44,57,3.29,High School,Software Engineering
386,38,87,0.3,PhD,Business Analytics
387,40,21,3.51,Bachelor,Software Engineering
388,45,69,3.64,High School,AI
389,51,24,1.22,Bachelor,Data Science
390,63,33,1.38,Master,AI
391,34,30,2.54,Master,Software Engineering
392,58,43,2.46,High School,Business Analytics
393,59,26,2.37,Bachelor,Software Engineering
394,60,84,2.88,Master,Business Analytics
395,20,8,0.32,Master,Software Engineering
396,67,78,1.67,High School,Cybersecurity
397,58,74,1.16,Master,Cybersecurity
398,33,92,1.62,PhD,AI
399,62,12,0.63,PhD,Cybersecurity
400,47,31,1.36,Bachelor,Data Science
401,63,45,2.94,Master,Cybersecurity
402,26,52,2.06,High School,Data Science
403,33,64,0.49,PhD,Software Engineering
404,27,17,0.2,PhD,Business Analytics
405,44,36,3.85,Bachelor,Data Science
406,54,97,1.25,Bachelor,Cybersecurity
407,50,64,2.0,Master,Cybersecurity
408,19,16,3.78,PhD,Software Engineering
409,31,79,1.41,High School,Data Science
410,49,81,3.53,PhD,Data Science
411,52,6,3.39,PhD,Software Engineering
412,34,98,1.46,PhD,Data Science
413,20,56,0.2,Bachelor,Data Science
414,53,41,0.29,PhD,Business Analytics
415,35,84,2.72,High School,Software Engineering
416,24,55,1.49,Master,Business Analytics
417,41,23,0.8,PhD,Business Analytics
418,20,10,0.16,Master,Cybersecurity
419,51,63,0.6,Bachelor,Data Science
420,57,45,0.65,Master,Business Analytics
421,39,69,3.31,PhD,Business Analytics
422,37,65,3.26,Master,Data Science
423,61,19,3.92,Master,AI
424,56,65,1.06,Bachelor,AI
425,55,66,0.68,PhD,Software Engineering
426,70,92,0.97,High School,Software Engineering
427,19,61,1.25,Bachelor,Cybersecurity
428,62,31,1.64,PhD,AI
429,63,22,2.07,Master,Cybersecurity
430,51,53,1.26,Bachelor,Cybersecurity
431,52,48,2.19,Master,Business Analytics
432,48,29,3.83,Master,Business Analytics
433,37,33,3.77,Master,Data Science
434,63,31,2.76,PhD,Data Science
435,48,49,2.24,Master,Data Science
436,25,78,2.71,PhD,Cybersecurity
437,70,49,3.82,Bachelor,Data Science
438,20,41,3.82,High School,Data Science
439,46,88,1.03,PhD,Software Engineering
440,30,73,1.08,Master,Software Engineering
441,24,83,2.96,Bachelor,Software Engineering
442,21,90,3.62,Bachelor,Software Engineering
443,21,17,1.65,PhD,AI
444,61,22,0.02,Bachelor,Cybersecurity
445,59,65,1.91,Bachelor,Data Science
446,38,41,2.58,High School,Business Analytics
447,32,73,2.95,High School,Software Engineering
448,44,27,3.74,High School,Cybersecurity
449,68,68,0.75,Master,AI
450,18,43,2.27,High School,Data Science
451,36,63,3.96,PhD,Software Engineering
452,50,64,1.09,High School,Data Science
453,28,98,1.84,Master,Software Engineering
454,18,99,1.35,Master,Business Analytics
455,61,29,0.7,PhD,Cybersecurity
456,50,46,0.35,High School,Software Engineering
457,26,66,1.29,Bachelor,AI
458,34,54,0.94,Master,Data Science
459,37,79,2.89,High School,Data Science
460,59,51,2.77,High School,AI
461,47,44,0.64,Master,AI
462,58,42,1.47,Bachelor,Software Engineering
463,26,66,0.61,Master,Cybersecurity
464,62,75,3.65,Bachelor,Software Engineering
465,61,81,3.49,High School,Business Analytics
466,46,72,2.82,High School,Business Analytics
467,25,12,3.32,Bachelor,Business Analytics
468,52,24,0.66,PhD,AI
469,61,31,2.87,PhD,AI
470,50,62,3.23,PhD,Software Engineering
471,50,58,1.83,High School,Business Analytics
472,47,91,3.23,High School,Cybersecurity
473,34,5,2.98,High School,AI
474,45,49,2.8,High School,AI
475,48,9,1.15,Bachelor,Software Engineering
476,67,87,3.91,PhD,Data Science
477,42,62,3.48,PhD,Cybersecurity
478,23,92,3.86,Bachelor,Data Science
479,25,27,3.97,PhD,Business Analytics
480,26,98,3.91,High School,AI
481,37,64,2.69,PhD,Business Analytics
482,42,34,0.99,Master,Software Engineering
483,35,29,3.75,High School,AI
484,69,89,1.68,High School,Software Engineering
485,31,13,0.4,High School,Cybersecurity
486,56,91,2.81,High School,Software Engineering
487,65,10,1.61,Bachelor,Business Analytics
488,31,12,0.56,Master,Software Engineering
489,70,98,2.3,Master,Software Engineering
490,37,23,3.94,Bachelor,Cybersecurity
491,37,40,0.24,Bachelor,Cybersecurity
492,53,68,0.19,Master,Cybersecurity
493,68,72,1.27,PhD,Cybersecurity
494,27,43,1.51,PhD,Software Engineering
495,32,43,3.43,Bachelor,Cybersecurity
496,21,76,1.65,PhD,Business Analytics
497,51,22,1.55,Master,Software Engineering
498,39,87,0.32,PhD,Data Science
499,23,73,2.9,Bachelor,AI
500,35,53,2.69,High School,AI
501,30,80,2.9,Bachelor,Cybersecurity
502,31,47,1.21,High School,Software Engineering
503,30,99,0.47,PhD,Software Engineering
504,62,82,2.82,PhD,Software Engineering
505,53,46,3.1,PhD,Cybersecurity
506,52,88,1.44,Master,Data Science
507,50,68,1.86,PhD,Data Science
508,31,52,1.25,High School,Business Analytics
509,32,99,0.58,Master,Business Analytics
510,55,79,2.88,Master,Software Engineering
511,30,47,0.92,Bachelor,Cybersecurity
512,53,88,3.77,Master,Data Science
513,66,67,3.87,PhD,Cybersecurity
514,28,98,3.18,Bachelor,Software Engineering
515,64,74,1.95,High School,Business Analytics
516,20,14,3.78,High School,AI
517,44,22,3.37,Bachelor,AI
518,63,24,0.04,PhD,Data Science
519,21,84,2.55,PhD,Cybersecurity
520,19,5,2.13,PhD,AI
521,19,72,2.89,Master,AI
522,50,94,2.7,Bachelor,AI
523,24,72,0.6,Bachelor,Business Analytics
524,51,37,3.26,Master,Cybersecurity
525,23,52,3.84,PhD,Business Analytics
526,33,94,0.9,High School,AI
527,23,56,1.52,PhD,AI
528,58,6,2.81,High School,Cybersecurity
529,45,87,3.14,High School,Business Analytics
530,20,34,0.85,PhD,Data Science
531,20,14,2.74,Master,Business Analytics
532,54,89,0.13,Master,AI
533,31,80,0.58,PhD,AI
534,37,25,2.26,PhD,Business Analytics
535,39,54,3.02,Bachelor,AI
536,50,100,3.9,High School,AI
537,45,34,3.35,Master,Business Analytics
538,67,83,3.82,PhD,Data Science
539,19,86,1.09,PhD,Cybersecurity
540,32,50,2.21,PhD,Cybersecurity
541,29,92,2.34,PhD,AI
542,67,84,1.18,Bachelor,AI
543,23,39,0.62,Bachelor,Cybersecurity
544,38,51,0.43,High School,Data Science
545,46,51,3.05,High School,Software Engineering
546,23,28,1.72,PhD,AI
547,19,16,1.42,High School,Business Analytics
548,56,46,3.45,High School,Data Science
549,44,54,3.12,Bachelor,Business Analytics
550,51,26,2.74,Bachelor,Software Engineering
551,35,43,1.07,Bachelor,AI
552,28,60,1.1,Master,Cybersecurity
553,68,14,1.44,Bachelor,Cybersecurity
554,56,83,0.78,High School,Software Engineering
555,37,5,3.8,Master,Business Analytics
556,42,47,1.76,PhD,Business Analytics
557,26,43,1.28,Bachelor,Cybersecurity
558,38,27,3.86,Master,Data Science
559,65,93,2.53,Bachelor,Data Science
560,42,40,3.27,PhD,Data Science
561,25,77,0.8,Bachelor,Business Analytics
562,19,98,1.85,Bachelor,Cybersecurity
563,69,42,3.33,High School,Cybersecurity
564,61,68,0.56,Master,Software Engineering
565,34,89,0.62,PhD,Cybersecurity
566,22,62,3.96,PhD,Business Analytics
567,43,73,2.03,PhD,Business Analytics
568,20,51,2.81,High School,AI
569,67,36,2.63,Master,Software Engineering
570,59,83,0.18,PhD,Data Science
571,68,60,0.42,High School,Data Science
572,32,70,2.99,Bachelor,Cybersecurity
573,41,55,1.85,Bachelor,Data Science
574,19,66,0.42,PhD,AI
575,25,98,0.57,Master,Data Science
576,47,31,2.08,Master,Cybersecurity
577,24,61,2.89,PhD,Data Science
578,22,43,0.18,High School,AI
579,39,87,0.44,Bachelor,Software Engineering
580,51,27,2.21,Master,Business Analytics
581,45,64,0.93,PhD,Software Engineering
582,29,86,2.63,PhD,AI
583,65,83,3.53,PhD,Business Analytics
584,45,54,0.02,Bachelor,Software Engineering
585,35,95,3.23,High School,Business Analytics
586,24,73,0.75,Master,Software Engineering
587,47,19,1.05,PhD,Business Analytics
588,58,45,2.39,PhD,Business Analytics
589,25,49,1.41,PhD,Business Analytics
590,29,91,2.82,Master,Business Analytics
591,55,15,2.69,Master,AI
592,33,44,0.47,Master,Software Engineering
593,50,54,1.67,Bachelor,Business Analytics
594,42,59,0.74,Bachelor,Business Analytics
595,28,67,1.16,Bachelor,Data Science
596,46,84,0.21,Master,AI
597,49,22,0.78,PhD,Business Analytics
598,50,88,1.98,PhD,Cybersecurity
599,63,61,1.95,High School,Business Analytics
600,19,33,1.17,Master,Software Engineering
601,52,41,0.67,PhD,Business Analytics
602,65,68,2.2,High School,Business Analytics
603,25,39,3.1,Master,Business Analytics
604,70,10,3.04,PhD,Business Analytics
605,31,59,0.41,Bachelor,Data Science
606,20,62,1.05,High School,Cybersecurity
607,25,35,0.84,Master,Business Analytics
608,58,59,0.66,Bachelor,Software Engineering
609,70,31,3.22,Master,Business Analytics
610,35,81,2.16,Master,Data Science
611,36,78,1.07,High School,Software Engineering
612,66,57,3.68,Master,Software Engineering
613,62,21,1.0,Master,Software Engineering
614,66,91,1.57,Bachelor,Business Analytics
615,58,39,2.51,PhD,Cybersecurity
616,22,86,3.18,High School,Cybersecurity
617,50,100,1.11,Master,Cybersecurity
618,49,46,2.33,High School,Cybersecurity
619,58,90,2.79,High School,Business Analytics
620,43,32,3.87,Bachelor,Cybersecurity
621,35,46,3.31,Master,Business Analytics
622,54,21,2.26,PhD,Data Science
623,61,11,0.18,PhD,AI
624,25,25,1.77,High School,Cybersecurity
625,30,93,3.64,Master,Software Engineering
626,35,16,2.62,Master,AI
627,41,90,3.62,Bachelor,AI
628,43,85,1.22,Bachelor,Cybersecurity
629,59,16,2.81,High School,Software Engineering
630,48,14,0.53,Bachelor,Business Analytics
631,61,61,0.04,Master,AI
632,45,93,0.53,High School,Software Engineering
633,42,16,2.92,High School,AI
634,38,52,3.52,Bachelor,Cybersecurity
635,67,22,2.57,Bachelor,AI
636,51,77,0.03,Bachelor,Cybersecurity
637,40,97,0.85,Bachelor,Cybersecurity
638,57,92,1.77,Bachelor,AI
639,24,22,3.01,PhD,Data Science
640,45,45,3.16,Bachelor,Data Science
641,59,15,0.99,Master,AI
642,60,43,0.82,Bachelor,Cybersecurity
643,36,87,0.22,Bachelor,Cybersecurity
644,42,19,0.96,High School,Business Analytics
645,18,51,3.74,Bachelor,Cybersecurity
646,54,58,1.46,Bachelor,Cybersecurity
647,67,14,0.07,High School,AI
648,34,32,0.16,High School,Cybersecurity
649,50,41,2.51,PhD,Cybersecurity
650,62,56,0.33,Bachelor,Data Science
651,23,44,0.32,Bachelor,Software Engineering
652,52,46,1.56,High School,Data Science
653,62,60,2.92,Bachelor,AI
654,33,16,3.7,High School,Cybersecurity
655,57,82,0.22,Bachelor,AI
656,18,95,0.55,High School,Software Engineering
657,49,49,2.09,Master,Software Engineering
658,41,21,3.0,Master,AI
659,67,8,1.34,PhD,Data Science
660,51,13,1.05,High School,Cybersecurity
661,47,70,1.44,PhD,Business Analytics
662,28,52,0.63,High School,Business Analytics
663,61,97,0.46,High School,AI
664,18,36,0.18,Master,Cybersecurity
665,27,27,3.72,High School,Business Analytics
666,69,96,2.96,PhD,Software Engineering
667,38,36,1.67,Master,Data Science
668,70,14,2.29,High School,Business Analytics
669,61,11,0.72,High School,Cybersecurity
670,22,64,3.46,Master,Data Science
671,23,75,1.83,Master,Software Engineering
672,36,77,3.14,Bachelor,Cybersecurity
673,41,80,3.89,Bachelor,Business Analytics
674,66,36,0.6,PhD,AI
675,32,74,1.39,High School,Data Science
676,18,89,1.51,Master,AI
677,31,72,3.93,PhD,Cybersecurity
678,21,23,2.85,High School,AI
679,32,71,1.65,Master,Cybersecurity
680,65,15,2.32,Bachelor,Cybersecurity
681,22,80,2.27,PhD,Software Engineering
682,33,42,1.04,Master,Cybersecurity
683,62,99,1.31,PhD,Data Science
684,32,14,3.77,Bachelor,Business Analytics
685,24,24,0.42,PhD,Cybersecurity
686,38,57,0.48,Master,Software Engineering
687,46,44,1.85,High School,AI
688,28,92,1.22,High School,Software Engineering
689,38,23,0.36,Bachelor,Data Science
690,43,70,0.2,Master,Data Science
691,70,27,0.12,PhD,Cybersecurity
692,53,100,2.2,High School,Cybersecurity
693,24,22,0.49,High School,Software Engineering
694,26,30,3.29,Master,AI
